index,roi_id,s2_id,component_id
20,ROI_0044,S2B_MSIL1C_20190327T100029_N0207_R122_T32QMM_20190327T170123,ROI_0044
21,ROI_0044,S2B_MSIL1C_20190526T100039_N0207_R122_T32QMM_20190526T124439,ROI_0044
22,ROI_0044,S2A_MSIL1C_20190908T100031_N0208_R122_T32QMM_20190908T120018,ROI_0044
23,ROI_0044,S2A_MSIL1C_20200106T100401_N0208_R122_T32QMM_20200106T103423,ROI_0044
24,ROI_0044,S2B_MSIL1C_20200321T100029_N0209_R122_T32QMM_20200321T124408,ROI_0044
25,ROI_0064,S2B_MSIL1C_20181217T015619_N0207_R117_T51JVH_20181217T050643,ROI_0064
26,ROI_0064,S2B_MSIL1C_20190317T015619_N0207_R117_T51JVH_20190317T060807,ROI_0064
27,ROI_0064,S2B_MSIL1C_20190615T015629_N0207_R117_T51JVH_20190615T060556,ROI_0064
28,ROI_0064,S2B_MSIL1C_20190622T014709_N0207_R074_T51JVH_20190622T045654,ROI_0064
29,ROI_0064,S2B_MSIL1C_20191102T015619_N0208_R117_T51JVH_20191102T050606,ROI_0064
30,ROI_0065,S2B_MSIL1C_20190101T142749_N0207_R053_T19HCA_20190101T175051,ROI_0065
31,ROI_0065,S2A_MSIL1C_20190116T142751_N0207_R053_T19HCA_20190116T174949,ROI_0065
32,ROI_0065,S2B_MSIL1C_20190404T143759_N0207_R096_T19HCA_20190404T193440,ROI_0065
33,ROI_0065,S2B_MSIL1C_20200129T143659_N0208_R096_T19HCA_20200129T175853,ROI_0065
34,ROI_0065,S2A_MSIL1C_20200410T142731_N0209_R053_T19HCA_20200410T175113,ROI_0065
35,ROI_0069,S2B_MSIL1C_20190516T151709_N0207_R125_T18LTM_20190516T200812,ROI_0069
36,ROI_0069,S2B_MSIL1C_20190913T151709_N0208_R125_T18LTM_20190913T201312,ROI_0069
37,ROI_0069,S2A_MSIL1C_20200225T151701_N0209_R125_T18LTM_20200225T183747,ROI_0069
38,ROI_0069,S2B_MSIL1C_20200510T151659_N0209_R125_T18LTM_20200510T200110,ROI_0069
39,ROI_0069,S2A_MSIL1C_20200624T151711_N0209_R125_T18LTM_20200624T183952,ROI_0069
40,ROI_0079,S2A_MSIL1C_20190120T203751_N0207_R114_T08VMM_20190120T220144,ROI_0079
41,ROI_0079,S2B_MSIL1C_20190624T202849_N0207_R114_T08VMM_20190624T222016,ROI_0079
42,ROI_0079,S2A_MSIL1C_20190706T201851_N0207_R071_T08VMM_20190706T234253,ROI_0079
43,ROI_0079,S2A_MSIL1C_20200630T201851_N0209_R071_T08VMM_20200630T234014,ROI_0079
44,ROI_0079,S2B_MSIL1C_20200725T201849_N0209_R071_T08VMM_20200725T220610,ROI_0079
45,ROI_0085,S2A_MSIL1C_20190623T182921_N0207_R027_T11TPJ_20190623T232721,ROI_0085
46,ROI_0085,S2A_MSIL1C_20190822T182921_N0208_R027_T11TPJ_20190822T233608,ROI_0085
47,ROI_0085,S2A_MSIL1C_20190911T182921_N0208_R027_T11TPJ_20190911T234249,ROI_0085
48,ROI_0085,S2B_MSIL1C_20200602T182919_N0209_R027_T11TPJ_20200602T220412,ROI_0085
49,ROI_0085,S2A_MSIL1C_20200707T182921_N0209_R027_T11TPJ_20200707T220703,ROI_0085
50,ROI_0106,S2B_MSIL1C_20190509T152649_N0207_R025_T18LTN_20190509T201533,ROI_0106
51,ROI_0106,S2A_MSIL1C_20191220T152631_N0208_R025_T18LTN_20191220T184708,ROI_0106
52,ROI_0106,S2B_MSIL1C_20200304T152639_N0209_R025_T18LTN_20200304T201201,ROI_0106
53,ROI_0106,S2B_MSIL1C_20200612T152639_N0209_R025_T18LTN_20200612T201212,ROI_0106
54,ROI_0106,S2A_MSIL1C_20200617T152651_N0209_R025_T18LTN_20200617T221812,ROI_0106
55,ROI_0120,S2A_MSIL1C_20190302T045721_N0207_R119_T45TXE_20190302T083909,ROI_0120
56,ROI_0120,S2A_MSIL1C_20190829T045701_N0208_R119_T45TXE_20190829T080414,ROI_0120
57,ROI_0120,S2A_MSIL1C_20191008T045701_N0208_R119_T45TXE_20191008T081036,ROI_0120
58,ROI_0120,S2B_MSIL1C_20191020T044819_N0208_R076_T45TXE_20191020T082846,ROI_0120
59,ROI_0120,S2B_MSIL1C_20191219T045209_N0208_R076_T45TXE_20191219T064317,ROI_0120
60,ROI_0141,S2B_MSIL1C_20181226T141039_N0207_R110_T19FDE_20181226T172720,ROI_0141
61,ROI_0141,S2B_MSIL1C_20190316T141049_N0207_R110_T19FDE_20190316T203712,ROI_0141
62,ROI_0141,S2A_MSIL1C_20190420T141051_N0207_R110_T19FDE_20190420T172801,ROI_0141
63,ROI_0141,S2A_MSIL1C_20191126T141051_N0208_R110_T19FDE_20191126T172653,ROI_0141
64,ROI_0141,S2B_MSIL1C_20200419T141039_N0209_R110_T19FDE_20200419T172548,ROI_0141
65,ROI_0153,S2B_MSIL1C_20190405T141049_N0207_R110_T20JPM_20190405T172750,ROI_0153
66,ROI_0153,S2A_MSIL1C_20190709T141051_N0208_R110_T20JPM_20190709T155413,ROI_0153
67,ROI_0153,S2B_MSIL1C_20191201T141039_N0208_R110_T20JPM_20191201T172706,ROI_0153
68,ROI_0153,S2A_MSIL1C_20200411T140051_N0209_R067_T20JPM_20200411T172152,ROI_0153
69,ROI_0153,S2B_MSIL1C_20200628T141049_N0209_R110_T20JPM_20200628T173125,ROI_0153
70,ROI_0154,S2B_MSIL1C_20190326T141049_N0207_R110_T20HNJ_20190326T203814,ROI_0154
71,ROI_0154,S2A_MSIL1C_20191113T140051_N0208_R067_T20HNJ_20191113T153922,ROI_0154
72,ROI_0154,S2B_MSIL1C_20191231T141039_N0208_R110_T20HNJ_20191231T172812,ROI_0154
73,ROI_0154,S2B_MSIL1C_20200120T140639_N0208_R110_T20HNJ_20200120T173103,ROI_0154
74,ROI_0154,S2A_MSIL1C_20200201T135641_N0208_R067_T20HNJ_20200201T171927,ROI_0154
75,ROI_0159,S2A_MSIL1C_20190718T143751_N0208_R096_T19HBV_20190718T180104,ROI_0159
76,ROI_0159,S2A_MSIL1C_20191016T143731_N0208_R096_T18HYE_20191016T180017,ROI_0159
77,ROI_0159,S2B_MSIL1C_20200129T143659_N0208_R096_T18HYE_20200129T175853,ROI_0159
78,ROI_0159,S2A_MSIL1C_20200403T143721_N0209_R096_T19HBV_20200403T180123,ROI_0159
79,ROI_0159,S2B_MSIL1C_20200607T143729_N0209_R096_T19HBV_20200607T175811,ROI_0159
80,ROI_0165,S2A_MSIL1C_20190224T145721_N0207_R039_T19LBD_20190224T193936,ROI_0165
81,ROI_0165,S2B_MSIL1C_20190331T145729_N0207_R039_T19LBD_20190331T195056,ROI_0165
82,ROI_0165,S2B_MSIL1C_20190917T145729_N0208_R039_T19LBD_20190917T181132,ROI_0165
83,ROI_0165,S2A_MSIL1C_20191022T145731_N0208_R039_T19LBD_20191022T181021,ROI_0165
84,ROI_0165,S2A_MSIL1C_20191221T145721_N0208_R039_T19LBD_20191221T164151,ROI_0165
85,ROI_0197,S2B_MSIL1C_20190609T175919_N0207_R041_T14VPM_20190609T195814,ROI_0197
86,ROI_0197,S2A_MSIL1C_20190621T174911_N0207_R141_T14VPM_20190621T225649,ROI_0197
87,ROI_0197,S2A_MSIL1C_20190714T175921_N0208_R041_T14VPM_20190714T213731,ROI_0197
88,ROI_0197,S2A_MSIL1C_20200712T173911_N0209_R098_T14VPM_20200712T211852,ROI_0197
89,ROI_0197,S2B_MSIL1C_20200720T174909_N0209_R141_T14VPM_20200720T194737,ROI_0197
90,ROI_0201,S2A_MSIL1C_20190902T161901_N0208_R040_T16TGL_20190902T194713,ROI_0201
91,ROI_0201,S2A_MSIL1C_20190922T162001_N0208_R040_T16TGL_20190922T194508,ROI_0201
92,ROI_0201,S2A_MSIL1C_20191101T162431_N0208_R040_T17TKF_20191101T182528,ROI_0201
93,ROI_0201,S2A_MSIL1C_20200320T161951_N0209_R040_T16TGL_20200320T194500,ROI_0201
94,ROI_0201,S2A_MSIL1C_20200402T162851_N0209_R083_T17TKF_20200402T200909,ROI_0201
95,ROI_0212,S2A_MSIL1C_20190523T053651_N0207_R005_T48XVG_20190523T084243,ROI_0212
96,ROI_0212,S2B_MSIL1C_20190812T055639_N0208_R091_T48XVG_20190812T075417,ROI_0212
97,ROI_0212,S2A_MSIL1C_20190824T054641_N0208_R048_T48XVG_20190824T074206,ROI_0212
98,ROI_0212,S2A_MSIL1C_20190917T052651_N0208_R105_T48XVG_20190917T140300,ROI_0212
99,ROI_0212,S2A_MSIL1C_20190920T053641_N0208_R005_T48XVG_20190920T073614,ROI_0212
100,ROI_0235,S2B_MSIL1C_20190607T053649_N0207_R005_T44UNV_20190607T082448,ROI_0235
101,ROI_0235,S2B_MSIL1C_20200402T053639_N0209_R005_T44UNV_20200402T082255,ROI_0235
102,ROI_0235,S2B_MSIL1C_20200512T053639_N0209_R005_T44UNV_20200512T092349,ROI_0235
103,ROI_0235,S2B_MSIL1C_20200601T053649_N0209_R005_T44UNV_20200601T082542,ROI_0235
104,ROI_0235,S2B_MSIL1C_20200711T053649_N0209_R005_T44UNV_20200711T083935,ROI_0235
105,ROI_0243,S2B_MSIL1C_20180516T090549_N0206_R050_T35TLJ_20180516T111539,ROI_0243
106,ROI_0243,S2A_MSIL1C_20180802T092031_N0206_R093_T35TLJ_20180802T113602,ROI_0243
107,ROI_0243,S2B_MSIL1C_20190524T092039_N0207_R093_T35TLJ_20190524T113952,ROI_0243
108,ROI_0243,S2A_MSIL1C_20190728T092031_N0208_R093_T35TLJ_20190728T112153,ROI_0243
109,ROI_0243,S2B_MSIL1C_20191001T092029_N0208_R093_T35TLJ_20191001T124437,ROI_0243
110,ROI_0245,S2A_MSIL1C_20180213T110141_N0206_R094_T31UDR_20180213T131320,ROI_0245
111,ROI_0245,S2B_MSIL1C_20180526T105029_N0206_R051_T31UDR_20180526T143434,ROI_0245
112,ROI_0245,S2B_MSIL1C_20180625T105029_N0206_R051_T31UDR_20180625T125829,ROI_0245
113,ROI_0245,S2A_MSIL1C_20190708T105621_N0208_R094_T31UDR_20190708T112621,ROI_0245
114,ROI_0245,S2B_MSIL1C_20200614T104629_N0209_R051_T31UDR_20200614T132040,ROI_0245
115,ROI_0264,S2B_MSIL1C_20190120T080239_N0207_R035_T35HLD_20190120T113542,ROI_0264
116,ROI_0264,S2B_MSIL1C_20190321T075619_N0207_R035_T35HKD_20190321T114118,ROI_0264
117,ROI_0264,S2B_MSIL1C_20190410T075619_N0207_R035_T35HKD_20190410T131630,ROI_0264
118,ROI_0264,S2B_MSIL1C_20190719T075619_N0208_R035_T35HKD_20190719T110057,ROI_0264
119,ROI_0264,S2A_MSIL1C_20200628T075611_N0209_R035_T35HKD_20200628T101636,ROI_0264
120,ROI_0268,S2B_MSIL1C_20190129T071209_N0207_R020_T38KNV_20190129T102509,ROI_0268
121,ROI_0268,S2A_MSIL1C_20190213T071201_N0207_R020_T38KNV_20190213T120359,ROI_0268
122,ROI_0268,S2B_MSIL1C_20190218T071209_N0207_R020_T38KNV_20190218T103911,ROI_0268
123,ROI_0268,S2A_MSIL1C_20190603T071211_N0207_R020_T38KNV_20190603T095007,ROI_0268
124,ROI_0268,S2A_MSIL1C_20190613T071211_N0207_R020_T38KNV_20190613T095046,ROI_0268
125,ROI_0271,S2B_MSIL1C_20181226T053229_N0207_R105_T43QFG_20181226T082912,ROI_0271
126,ROI_0271,S2B_MSIL1C_20190214T052929_N0207_R105_T43QFG_20190214T090216,ROI_0271
127,ROI_0271,S2B_MSIL1C_20190724T052659_N0208_R105_T43QFG_20190724T090641,ROI_0271
128,ROI_0271,S2B_MSIL1C_20190922T052649_N0208_R105_T43QFG_20190922T091415,ROI_0271
129,ROI_0271,S2A_MSIL1C_20200224T052811_N0209_R105_T43QFG_20200224T073724,ROI_0271
130,ROI_0285,S2A_MSIL1C_20190220T001631_N0207_R116_T55HBB_20190220T015300,ROI_0285
131,ROI_0285,S2A_MSIL1C_20190312T002051_N0207_R116_T55HBB_20190312T014722,ROI_0285
132,ROI_0285,S2B_MSIL1C_20190715T002109_N0208_R116_T55HBB_20190715T014220,ROI_0285
133,ROI_0285,S2B_MSIL1C_20200210T002049_N0209_R116_T55HBB_20200210T013917,ROI_0285
134,ROI_0285,S2B_MSIL1C_20200410T002049_N0209_R116_T55HBB_20200410T014236,ROI_0285
135,ROI_0309,S2A_MSIL1C_20181220T130241_N0207_R095_T24LTJ_20181220T143033,ROI_0309
136,ROI_0309,S2A_MSIL1C_20190109T130241_N0207_R095_T24LTJ_20190109T143111,ROI_0309
137,ROI_0309,S2A_MSIL1C_20190218T130241_N0207_R095_T24LTJ_20190218T143724,ROI_0309
138,ROI_0309,S2B_MSIL1C_20191120T130249_N0208_R095_T24LTJ_20191120T133737,ROI_0309
139,ROI_0309,S2A_MSIL1C_20200503T130251_N0209_R095_T24LTJ_20200503T143813,ROI_0309
140,ROI_0331,S2B_MSIL1C_20181222T073319_N0207_R049_T37NHJ_20181222T092919,ROI_0331
141,ROI_0331,S2A_MSIL1C_20190416T072621_N0207_R049_T37PHK_20190416T094443,ROI_0331
142,ROI_0331,S2B_MSIL1C_20190421T072619_N0207_R049_T37PHK_20190421T102305,ROI_0331
143,ROI_0331,S2B_MSIL1C_20191008T072759_N0208_R049_T38NKP_20191008T102349,ROI_0331
144,ROI_0331,S2B_MSIL1C_20191117T073109_N0208_R049_T37PHK_20191117T094234,ROI_0331
145,ROI_0342,S2A_MSIL1C_20181228T084351_N0207_R064_T33KZT_20181228T103837,ROI_0342
146,ROI_0342,S2B_MSIL1C_20190201T084159_N0207_R064_T33KZT_20190201T121624,ROI_0342
147,ROI_0342,S2B_MSIL1C_20190402T083559_N0207_R064_T34KBC_20190402T123206,ROI_0342
148,ROI_0342,S2A_MSIL1C_20190427T083601_N0207_R064_T33KZT_20190427T110151,ROI_0342
149,ROI_0342,S2A_MSIL1C_20191103T084121_N0208_R064_T34KBC_20191103T105237,ROI_0342
150,ROI_0343,S2A_MSIL1C_20181221T023241_N0207_R103_T49KHR_20181221T072031,ROI_0343
151,ROI_0343,S2A_MSIL1C_20181221T023241_N0207_R103_T50KKA_20181221T072031,ROI_0343
152,ROI_0343,S2A_MSIL1C_20190130T023251_N0207_R103_T50KKA_20190130T053807,ROI_0343
153,ROI_0343,S2A_MSIL1C_20200414T023251_N0209_R103_T50KKA_20200414T053717,ROI_0343
154,ROI_0343,S2B_MSIL1C_20200429T023249_N0209_R103_T49KHR_20200429T053623,ROI_0343
155,ROI_0362,S2A_MSIL1C_20190706T201851_N0207_R071_T08VNL_20190706T234253,ROI_0362
156,ROI_0362,S2A_MSIL1C_20190904T201931_N0208_R071_T08VNL_20190904T234753,ROI_0362
157,ROI_0362,S2B_MSIL1C_20190929T202229_N0208_R071_T08VNL_20190929T222302,ROI_0362
158,ROI_0362,S2A_MSIL1C_20200521T201901_N0209_R071_T08VNL_20200521T234051,ROI_0362
159,ROI_0362,S2A_MSIL1C_20200630T201851_N0209_R071_T08VNL_20200630T234014,ROI_0362
160,ROI_0374,S2A_MSIL1C_20190505T043701_N0207_R033_T46RBU_20190505T075521,ROI_0374
161,ROI_0374,S2B_MSIL1C_20191017T043759_N0208_R033_T46RBU_20191017T081817,ROI_0374
162,ROI_0374,S2B_MSIL1C_20191226T044209_N0208_R033_T46RBV_20191226T073513,ROI_0374
163,ROI_0374,S2A_MSIL1C_20200209T043931_N0209_R033_T46RBU_20200209T073726,ROI_0374
164,ROI_0374,S2B_MSIL1C_20200723T043659_N0209_R033_T46RBU_20200723T073813,ROI_0374
165,ROI_0391,S2A_MSIL1C_20190331T120701_N0207_R109_T33XWF_20190331T172709,ROI_0391
166,ROI_0391,S2A_MSIL1C_20190618T123701_N0207_R095_T33XWF_20190618T143621,ROI_0391
167,ROI_0391,S2B_MSIL1C_20190723T123709_N0208_R095_T33XWF_20190723T134337,ROI_0391
168,ROI_0391,S2A_MSIL1C_20200503T123701_N0209_R095_T33XWF_20200503T131645,ROI_0391
169,ROI_0391,S2A_MSIL1C_20200620T115651_N0209_R066_T33XWF_20200620T122952,ROI_0391
170,ROI_0400,S2A_MSIL1C_20190328T051651_N0207_R062_T44SME_20190328T103821,ROI_0400
171,ROI_0400,S2A_MSIL1C_20190407T051651_N0207_R062_T44SME_20190407T083823,ROI_0400
172,ROI_0400,S2B_MSIL1C_20190502T051659_N0207_R062_T44SME_20190502T085837,ROI_0400
173,ROI_0400,S2B_MSIL1C_20190701T051659_N0207_R062_T44SME_20190701T085752,ROI_0400
174,ROI_0400,S2B_MSIL1C_20200725T051649_N0209_R062_T44SME_20200725T091042,ROI_0400
175,ROI_0405,S2B_MSIL1C_20180705T122649_N0206_R052_T33XWG_20180705T161623,ROI_0405
176,ROI_0405,S2B_MSIL1C_20180728T123659_N0206_R095_T33XWG_20180728T164319,ROI_0405
177,ROI_0405,S2A_MSIL1C_20190807T123701_N0208_R095_T33XWG_20190807T131547,ROI_0405
178,ROI_0405,S2A_MSIL1C_20200617T114651_N0209_R023_T33XWG_20200617T170424,ROI_0405
179,ROI_0405,S2B_MSIL1C_20200724T122659_N0209_R052_T33XWG_20200724T134203,ROI_0405
180,ROI_0413,S2A_MSIL1C_20190112T144731_N0207_R139_T19LEC_20190112T163226,ROI_0413
181,ROI_0413,S2A_MSIL1C_20190402T144731_N0207_R139_T19LEC_20190402T181117,ROI_0413
182,ROI_0413,S2A_MSIL1C_20190731T144741_N0208_R139_T19LEC_20190731T193405,ROI_0413
183,ROI_0413,S2A_MSIL1C_20200327T144721_N0209_R139_T19LEC_20200327T181141,ROI_0413
184,ROI_0413,S2B_MSIL1C_20200730T144729_N0209_R139_T19LEC_20200730T181814,ROI_0413
185,ROI_0428,S2B_MSIL1C_20190127T144729_N0207_R139_T19LDD_20190127T163401,ROI_0428
186,ROI_0428,S2A_MSIL1C_20190303T144731_N0207_R139_T19LDD_20190303T181324,ROI_0428
187,ROI_0428,S2B_MSIL1C_20190407T144739_N0207_R139_T19LDD_20190407T180940,ROI_0428
188,ROI_0428,S2A_MSIL1C_20190502T144741_N0207_R139_T19LDD_20190502T181405,ROI_0428
189,ROI_0428,S2A_MSIL1C_20200127T144701_N0208_R139_T19LDD_20200127T180948,ROI_0428
190,ROI_0489,S2A_MSIL1C_20190427T015701_N0207_R060_T53TPN_20190427T040043,ROI_0489
191,ROI_0489,S2A_MSIL1C_20190623T014701_N0207_R017_T53TPN_20190623T034205,ROI_0489
192,ROI_0489,S2B_MSIL1C_20190906T014659_N0208_R017_T53TPN_20190906T043528,ROI_0489
193,ROI_0489,S2A_MSIL1C_20191014T015701_N0208_R060_T53TPN_20191014T040246,ROI_0489
194,ROI_0489,S2A_MSIL1C_20200528T014701_N0209_R017_T53TPN_20200528T040335,ROI_0489
195,ROI_0502,S2A_MSIL1C_20180207T104211_N0206_R008_T33VWJ_20180207T124633,ROI_0502
196,ROI_0502,S2A_MSIL1C_20180316T103021_N0206_R108_T33VWJ_20180316T123927,ROI_0502
197,ROI_0502,S2B_MSIL1C_20180520T103019_N0206_R108_T33VWJ_20180520T122921,ROI_0502
198,ROI_0502,S2A_MSIL1C_20180707T104021_N0206_R008_T33VWJ_20180707T124148,ROI_0502
199,ROI_0502,S2A_MSIL1C_20200427T104031_N0209_R008_T33VVJ_20200427T123510,ROI_0502
200,ROI_0503,S2B_MSIL1C_20190319T190109_N0207_R013_T10TDK_20190320T000140,ROI_0503
201,ROI_0503,S2A_MSIL1C_20190324T190031_N0207_R013_T10TDK_20190325T001055,ROI_0503
202,ROI_0503,S2B_MSIL1C_20190428T185929_N0207_R013_T10TDK_20190428T205245,ROI_0503
203,ROI_0503,S2A_MSIL1C_20200318T190111_N0209_R013_T10TDK_20200318T223049,ROI_0503
204,ROI_0503,S2B_MSIL1C_20200323T185939_N0209_R013_T10TDK_20200324T000446,ROI_0503
205,ROI_0535,S2B_MSIL1C_20190429T182929_N0207_R027_T11TPN_20190429T221950,ROI_0535
206,ROI_0535,S2B_MSIL1C_20190512T183929_N0207_R070_T11TPN_20190512T203940,ROI_0535
207,ROI_0535,S2B_MSIL1C_20190628T182929_N0207_R027_T11TPN_20190628T221748,ROI_0535
208,ROI_0535,S2B_MSIL1C_20200307T184219_N0209_R070_T11TPN_20200307T221001,ROI_0535
209,ROI_0535,S2A_MSIL1C_20200610T183921_N0209_R070_T11TPM_20200610T221531,ROI_0535
210,ROI_0539,S2A_MSIL1C_20190322T163951_N0207_R126_T16SBB_20190322T202016,ROI_0539
211,ROI_0539,S2B_MSIL1C_20190403T162839_N0207_R083_T16SBB_20190403T195454,ROI_0539
212,ROI_0539,S2A_MSIL1C_20190720T163901_N0208_R126_T16SBB_20190720T232650,ROI_0539
213,ROI_0539,S2B_MSIL1C_20191219T163709_N0208_R083_T16SBB_20191219T200431,ROI_0539
214,ROI_0539,S2B_MSIL1C_20200308T163019_N0209_R083_T16SBB_20200308T195524,ROI_0539
215,ROI_0583,S2A_MSIL1C_20190512T144741_N0207_R139_T19LDE_20190512T181112,ROI_0583
216,ROI_0583,S2A_MSIL1C_20190731T144741_N0208_R139_T19LDE_20190731T193405,ROI_0583
217,ROI_0583,S2A_MSIL1C_20190929T144731_N0208_R139_T19LDE_20190929T181515,ROI_0583
218,ROI_0583,S2B_MSIL1C_20200401T144729_N0209_R139_T19LDE_20200401T180919,ROI_0583
219,ROI_0583,S2A_MSIL1C_20200526T144731_N0209_R139_T19LDE_20200526T181059,ROI_0583
220,ROI_0591,S2B_MSIL1C_20190308T144729_N0207_R139_T20NKJ_20190308T180913,ROI_0591
221,ROI_0591,S2A_MSIL1C_20190830T144731_N0208_R139_T20NLJ_20190830T162905,ROI_0591
222,ROI_0591,S2A_MSIL1C_20191118T144731_N0208_R139_T20NKJ_20191118T163019,ROI_0591
223,ROI_0591,S2A_MSIL1C_20200406T144721_N0209_R139_T20NLJ_20200406T162725,ROI_0591
224,ROI_0591,S2B_MSIL1C_20200710T144729_N0209_R139_T20NKJ_20200710T163055,ROI_0591
225,ROI_0593,S2A_MSIL1C_20190218T143751_N0207_R096_T20MKT_20190218T161945,ROI_0593
226,ROI_0593,S2A_MSIL1C_20190509T143751_N0207_R096_T20MKT_20190509T180139,ROI_0593
227,ROI_0593,S2A_MSIL1C_20190618T143751_N0207_R096_T20MKT_20190618T175710,ROI_0593
228,ROI_0593,S2A_MSIL1C_20191215T143721_N0208_R096_T20MKT_20191215T162017,ROI_0593
229,ROI_0593,S2A_MSIL1C_20200612T143731_N0209_R096_T20MKT_20200612T180036,ROI_0593
230,ROI_0628,S2A_MSIL1C_20190217T163341_N0207_R083_T15QXU_20190217T195500,ROI_0628
231,ROI_0628,S2B_MSIL1C_20190622T162839_N0207_R083_T15QXU_20190622T195211,ROI_0628
232,ROI_0628,S2A_MSIL1C_20191214T163701_N0208_R083_T15QXU_20191214T195107,ROI_0628
233,ROI_0628,S2B_MSIL1C_20200427T162829_N0209_R083_T15QXU_20200427T195411,ROI_0628
234,ROI_0628,S2B_MSIL1C_20200616T162839_N0209_R083_T15QXU_20200616T195413,ROI_0628
235,ROI_0634,S2A_MSIL1C_20190407T165851_N0207_R069_T14QLE_20190407T221052,ROI_0634
236,ROI_0634,S2A_MSIL1C_20190507T165901_N0207_R069_T14QLE_20190507T221528,ROI_0634
237,ROI_0634,S2B_MSIL1C_20190621T165859_N0207_R069_T14QLE_20190621T203412,ROI_0634
238,ROI_0634,S2B_MSIL1C_20190721T165859_N0208_R069_T14QLE_20190725T154550,ROI_0634
239,ROI_0634,S2A_MSIL1C_20200201T170521_N0208_R069_T14QLE_20200201T203404,ROI_0634
240,ROI_0679,S2A_MSIL1C_20181215T183751_N0207_R027_T11TNJ_20181215T201507,ROI_0679
241,ROI_0679,S2B_MSIL1C_20190201T184609_N0207_R070_T11TNJ_20190201T203016,ROI_0679
242,ROI_0679,S2A_MSIL1C_20190527T183921_N0207_R070_T11TNJ_20190527T234757,ROI_0679
243,ROI_0679,S2A_MSIL1C_20191120T183651_N0208_R027_T11TNJ_20191120T202310,ROI_0679
244,ROI_0679,S2A_MSIL1C_20200322T184031_N0209_R070_T11TNJ_20200322T221515,ROI_0679
245,ROI_0687,S2A_MSIL1C_20190430T052651_N0207_R105_T43QCA_20190430T084523,ROI_0687
246,ROI_0687,S2A_MSIL1C_20191017T052821_N0208_R105_T43QCA_20191017T083119,ROI_0687
247,ROI_0687,S2B_MSIL1C_20191101T052949_N0208_R105_T43QCA_20191101T090254,ROI_0687
248,ROI_0687,S2A_MSIL1C_20200514T052651_N0209_R105_T43QCA_20200514T083730,ROI_0687
249,ROI_0687,S2A_MSIL1C_20200713T052651_N0209_R105_T43QCA_20200713T083502,ROI_0687
250,ROI_0702,S2A_MSIL1C_20190119T143751_N0207_R096_T19KEB_20190119T180257,ROI_0702
251,ROI_0702,S2B_MSIL1C_20190124T143749_N0207_R096_T19KEB_20190124T180053,ROI_0702
252,ROI_0702,S2B_MSIL1C_20190407T144739_N0207_R139_T19KEB_20190407T180940,ROI_0702
253,ROI_0702,S2A_MSIL1C_20190916T143751_N0208_R096_T19KEB_20190916T175937,ROI_0702
254,ROI_0702,S2B_MSIL1C_20191110T143729_N0208_R096_T19KEB_20191110T180023,ROI_0702
255,ROI_0709,S2B_MSIL1C_20190122T084249_N0207_R064_T36UXU_20190122T104235,ROI_0709
256,ROI_0709,S2A_MSIL1C_20190407T083601_N0207_R064_T36UXU_20190407T104310,ROI_0709
257,ROI_0709,S2B_MSIL1C_20190412T083609_N0207_R064_T36UXU_20190412T122445,ROI_0709
