dataset,seed,method,missing_groups,miou,audc
synthetic,4,b3,3,94.3866,89.3643
synthetic,4,b3,4,87.3091,89.3643
synthetic,4,b3,5,76.1582,89.3643
synthetic,4,b3,6,60.6773,89.3643
synthetic,0,proposed,0,100.0000,98.4443
synthetic,0,proposed,1,100.0000,98.4443
synthetic,0,proposed,2,99.9982,98.4443
synthetic,0,proposed,3,99.9839,98.4443
synthetic,0,proposed,4,99.5163,98.4443
synthetic,0,proposed,5,96.8992,98.4443
synthetic,0,proposed,6,88.5358,98.4443
synthetic,1,proposed,0,100.0000,98.8584
synthetic,1,proposed,1,100.0000,98.8584
synthetic,1,proposed,2,100.0000,98.8584
synthetic,1,proposed,3,99.9954,98.8584
synthetic,1,proposed,4,99.7532,98.8584
synthetic,1,proposed,5,97.9471,98.8584
synthetic,1,proposed,6,90.9092,98.8584
synthetic,2,proposed,0,100.0000,98.5245
synthetic,2,proposed,1,100.0000,98.5245
synthetic,2,proposed,2,99.9980,98.5245
synthetic,2,proposed,3,99.9816,98.5245
synthetic,2,proposed,4,99.5206,98.5245
synthetic,2,proposed,5,97.0889,98.5245
synthetic,2,proposed,6,89.1159,98.5245
synthetic,3,proposed,0,100.0000,98.1796
synthetic,3,proposed,1,99.9953,98.1796
synthetic,3,proposed,2,99.9899,98.1796
synthetic,3,proposed,3,99.9787,98.1796
synthetic,3,proposed,4,99.3703,98.1796
synthetic,3,proposed,5,96.2190,98.1796
synthetic,3,proposed,6,87.0487,98.1796
synthetic,4,proposed,0,100.0000,97.9275
synthetic,4,proposed,1,100.0000,97.9275
synthetic,4,proposed,2,99.9981,97.9275
synthetic,4,proposed,3,99.9888,97.9275
synthetic,4,proposed,4,99.3356,97.9275
synthetic,4,proposed,5,95.6982,97.9275
synthetic,4,proposed,6,85.0891,97.9275
